Company name;Industry;Business_owners_name;Address;Phone number;Email;Website
No1 Handyman;Renovations;Pouria (Paul);Church Street, Northcote Point, Auckland;(028) 4067352;pouria_12000@hotmail.com;https://www.facebook.com/No1handy/
Handy Manners;Plasterers, Handymans Services;No information about name;Auckland Region;(027) 2907891;lenny@handymanners.co.nz;http://handymanners.co.nz/
Wee Jobs HQ;Other, Handymans Services;No information about name;5 Borrell Avenue, Westown, New Plymouth;+64 06 7530333;tate = {;#
Gutter Foam;Spouting;Mel Clements;11d Akatea Road, Glendene, Auckland;(021) 415276;barry@gutterfoam.co.nz;http://www.gutterfoam.co.nz
Aluminium Technology;Staircases & Handrails, Louvres;No information about name;11 Kaimahi Road, Wairau Valley, Auckland;(09) 4433038;admin@altech.co.nz;http://www.altech.co.nz
Property Direct Services Limited;Renovations;No information about name;2 George Terrace, Onehunga, Auckland;(027) 4827170;accounts@pdslimited.co.nz;#
Baldry K W 1988 Limited;Electrical Supplies;No information about name;149 Station Road, Penrose, Auckland;(09) 5799575;tate = {;#
Kowhai Painters & Renovators Ltd;Painting & Decorating Supplies;No information about name;11 Nixon Street, Grey Lynn, Auckland;(021) 02172468;painterskowhai71@gmail.com;https://kowhaipainters.co.nz/painters-auckland/
Halo Surfaces Limited;Other;No information about name;29A Franklin Road, Freemans Bay, Auckland;(09) 3767079;tate = {;#
Trends Poila;Other;No information about name;38A Burnley Terrace, Mount Eden, Auckland;(09) 6384376;tate = {;#
Nuplex;Other;No information about name;602C Great South Road, Ellerslie, Auckland;(0800) 803 001;tate = {;#
Express Home and Office Cleaning Services;Cleaners - Commercial;No information about name;Unit 4, 872B Dominion Road, Mount Eden, Auckland;(021) 02676487;raj.p@expresshomeandofficecleaning.co.nz;#
Tobin Demolition & Contracting;Demolition;No information about name;Remuera Road, Remuera, Auckland;(09) 8899170;enquiry@tobingroup.co.nz;http://www.tobingroup.co.nz/
Kitchen Mania;Kitchen Fittings & Design;No information about name;20 Sylvia Park Road, Mount Wellington, Auckland;(09) 588 4045;carl@kitchenmania.co.nz;http://www.kitchenmania.co.nz
